HPI rank;Country;ISO;Continent;Unnamed: 4;Population (thousands);Year;LifeExp (years);Ladder of life (0-10);Footprint (g ha);HPI;Biocapacity for year (g ha);GDP per capita ($)
8;Colombia;COL;1;2018COL;49661.056;2018;77.1;5.983512402;1.890250973;57.52070486;1.57;14356.69407
9;New Zealand;NZL;2;2018NZL;4743.131;2018;82.1;7.370285988;4.074509741;57.25973168;1.57;42642.66293
10;Jamaica;JAM;1;2018JAM;2934.853;2018;74.4;6.099498987;1.834394317;56.45698863;1.57;9737.981656
11;Uruguay;URY;1;2018URY;3449.29;2018;77.8;6.371714592;2.600654213;56.1202047;1.57;21590.83348
12;United Kingdom;GBR;3;2018GBR;67141.678;2018;81.2;7.233445168;4.07478172;55.74683502;1.57;46290.12272
13;Tajikistan;TJK;7;2018TJK;9100.847;2018;70.9;5.497468948;0.956281661;55.36071427;1.57;3234.721579
14;El Salvador;SLV;1;2018SLV;6420.74;2018;73.1;6.241199493;2.016699957;55.10601219;1.57;8615.576151
15;Mexico;MEX;1;2018MEX;126190.782;2018;75;6.549578667;2.60141551;55.02105747;1.57;19993.71739
16;Philippines;PHL;8;2018PHL;106651.394;2018;71.1;5.869172573;1.410517823;54.93372905;1.57;8516.094388
17;Nicaragua;NIC;1;2018NIC;6465.502;2018;74.3;5.81895256;1.867514524;54.18555087;1.57;5694.92448
18;Netherlands;NLD;3;2018NLD;17059.56;2018;82.1;7.463097095;4.813214642;54.01096098;1.57;56239.95536
19;Uzbekistan;UZB;7;2018UZB;32476.232;2018;71.6;6.205460072;1.955702187;53.99254102;1.57;6755.480974
20;Peru;PER;1;2018PER;31989.265;2018;76.5;5.679661274;2.124119242;53.33301717;1.57;12782.37633
21;Spain;ESP;3;2018ESP;46692.863;2018;83.4;6.513370991;4.086202229;52.89059426;1.57;40441.27469
22;Thailand;THA;8;2018THA;69428.454;2018;76.9;6.011561871;2.624175811;52.86786519;1.57;18086.50771
23;Germany;DEU;3;2018DEU;83124.413;2018;81.2;7.118364334;4.583985349;52.49810705;1.57;53634.14458
24;Brazil;BRA;1;2018BRA;209469.32;2018;75.7;6.190921783;2.739750666;52.4416616;1.57;14596.24616
25;Pakistan;PAK;6;2018PAK;212228.288;2018;67.1;5.471553802;0.873021631;52.39046558;1.57;4739.768808
26;Dominican Republic;DOM;1;2018DOM;10627.147;2018;73.9;5.433215618;1.827284324;51.42705685;1.57;17711.76553
27;Palestine, State of;PSE;4;2018PSE;4862.978;2018;73.9;4.5539217;0.864397842;51.30103809;1.57;6318.210068
28;Italy;ITA;3;2018ITA;60627.291;2018;83.4;6.516526699;4.432096245;51.21839408;1.57;42187.82412
29;Serbia;SRB;7;2018SRB;8802.741;2018;75.8;5.936493397;2.682327287;51.20114469;1.57;17508.5278
30;Finland;FIN;3;2018FIN;5522.585;2018;81.7;7.85810709;5.857173209;51.18811549;1.57;48303.3622
31;France;FRA;3;2018FRA;64990.512;2018;82.5;6.665903568;4.498721588;51.17811753;1.57;45488.65322
32;Albania;ALB;7;2018ALB;2882.735;2018;78.5;5.004402637;1.997753708;50.82174031;1.57;13366.30306
33;Moldova;MDA;7;2018MDA;4051.95;2018;71.8;5.682277203;1.96620229;50.60364962;1.57;12363.14684
34;Cyprus;CYP;3;2018CYP;1189.262;2018;80.8;6.276443005;3.905683383;50.52531122;1.57;38822.49197
35;Kyrgyzstan;KGZ;7;2018KGZ;6304.025;2018;71.3;5.297383308;1.499857642;50.47203196;1.57;5133.151914
36;Armenia;ARM;7;2018ARM;2951.741;2018;74.9;5.062448502;1.701442904;50.36376199;1.57;12714.95819
37;Norway;NOR;3;2018NOR;5337.96;2018;82.3;7.444262028;5.667377822;50.21740314;1.57;64655.68752
38;Morocco;MAR;4;2018MAR;36029.089;2018;76.5;4.896791935;1.782915598;49.87068701;1.57;7437.637535
39;Ireland;IRL;3;2018IRL;4818.694;2018;82.1;6.962335587;5.107560986;49.8516289;1.57;83388.72115
40;Bangladesh;BGD;6;2018BGD;161376.713;2018;72.3;4.499217033;0.84443963;49.73475272;1.57;4441.424462
41;Indonesia;IDN;8;2018IDN;267670.549;2018;71.5;5.340295792;1.700775266;49.67023522;1.57;11371.53194
42;Sweden;SWE;3;2018SWE;9971.63;2018;82.7;7.374792099;5.844604264;49.38821142;1.57;52516.45407
43;Nepal;NPL;6;2018NPL;28095.712;2018;70.5;4.910086632;1.173995395;49.16969376;1.57;3252.743328
44;Congo (Brazzaville);COG;5;2018COG;5244.363;2018;64.3;5.490214348;1.058979128;48.75799677;1.57;3906.939945
45;Chile;CHL;1;2018CHL;18729.166;2018;80;6.436220646;4.373670792;48.71915892;1.57;25165.17818
46;Cambodia;KHM;8;2018KHM;16249.795;2018;69.6;5.121837616;1.391165707;48.56430751;1.57;4159.337426
47;Sri Lanka;LKA;6;2018LKA;21228.76;2018;76.8;4.435023785;1.485890943;48.48710561;1.57;12864.60635
48;Mauritius;MUS;5;2018MUS;1267.184;2018;74.9;5.88174057;3.000772758;48.46616829;1.57;22208.13812
49;Vietnam;VNM;8;2018VNM;95545.959;2018;75.3;5.295547009;2.396014334;48.213858;1.57;7586.384939
50;Algeria;DZA;4;2018DZA;42228.415;2018;76.7;5.043086052;2.274678361;48.18461881;1.57;11642.19449
51;Austria;AUT;3;2018AUT;8891.383;2018;81.4;7.396001816;5.996407697;48.05222106;1.57;55474.20315
52;Azerbaijan;AZE;7;2018AZE;9949.537;2018;72.9;5.167995453;1.964655733;48.00791652;1.57;14209.64941
53;Argentina;ARG;1;2018ARG;44361.15;2018;76.5;5.792796612;3.258791452;47.75514195;1.57;22759.39856
54;Bosnia and Herzegovina;BIH;7;2018BIH;3323.929;2018;77.3;5.887401104;3.508819012;47.66868461;1.57;14432.68266
55;Romania;ROU;7;2018ROU;19506.11;2018;75.9;6.150878906;3.641012763;47.63387338;1.57;28616.6
56;Israel;ISR;4;2018ISR;8381.507;2018;82.8;6.92717886;5.785174899;47.33166993;1.57;39600.27751
57;Paraguay;PRY;1;2018PRY;6956.069;2018;74.1;5.68296051;2.948252402;46.92878022;1.57;12850.46496
58;Czech Republic;CZE;7;2018CZE;10665.679;2018;79.2;7.034165382;5.443617793;46.92872321;1.57;40053.77367
59;Iceland;ISL;3;2018ISL;336.712;2018;82.9;7.504359245;6.710243699;46.88231567;1.57;55866.18927
60;Tunisia;TUN;4;2018TUN;11565.203;2018;76.5;4.741132259;2.139239539;46.7022545;1.57;10763.78558
61;Japan;JPN;8;2018JPN;127202.19;2018;84.5;5.793575287;4.666630762;46.57069051;1.57;41309.95609
